year,level_1,level_2,level_3,value
2015,Total,Total,Ang Mo Kio,98.1
2015,Total,Total,Bedok,146.1
2015,Total,Total,Bishan,47.6
2015,Total,Total,Bukit Batok,73.7
2015,Total,Total,Bukit Merah,80.5
2015,Total,Total,Bukit Panjang,79.1
2015,Total,Total,Bukit Timah,34.5
2015,Total,Total,Choa Chu Kang,95.2
2015,Total,Total,Clementi,44.6
2015,Total,Total,Geylang,59
2015,Total,Total,Hougang,117.5
2015,Total,Total,Jurong East,45
2015,Total,Total,Jurong West,155
2015,Total,Total,Kallang,53.7
2015,Total,Total,Marine Parade,20.8
2015,Total,Total,Novena,22.9
2015,Total,Total,Outram,11.5
2015,Total,Total,Pasir Ris,75.3
2015,Total,Total,Punggol,59
2015,Total,Total,Queenstown,47.4
2015,Total,Total,Sembawang,46.2
2015,Total,Total,Sengkang,121.7
2015,Total,Total,Serangoon,65.3
2015,Total,Total,Tampines,149.7
2015,Total,Total,Tanglin,8.5
2015,Total,Total,Toa Payoh,66.6
2015,Total,Total,Woodlands,132.1
2015,Total,Total,Yishun,116.6
2015,Total,Total,Others,20.1
2015,Up to 15 mins,Total,Ang Mo Kio,16.2
2015,Up to 15 mins,Total,Bedok,23.7
2015,Up to 15 mins,Total,Bishan,5.8
2015,Up to 15 mins,Total,Bukit Batok,9.2
2015,Up to 15 mins,Total,Bukit Merah,16.8
2015,Up to 15 mins,Total,Bukit Panjang,6.3
2015,Up to 15 mins,Total,Bukit Timah,5.2
2015,Up to 15 mins,Total,Choa Chu Kang,8.3
2015,Up to 15 mins,Total,Clementi,6.5
2015,Up to 15 mins,Total,Geylang,12.4
2015,Up to 15 mins,Total,Hougang,16.5
2015,Up to 15 mins,Total,Jurong East,6.5
2015,Up to 15 mins,Total,Jurong West,23.1
2015,Up to 15 mins,Total,Kallang,11.1
2015,Up to 15 mins,Total,Marine Parade,4
2015,Up to 15 mins,Total,Novena,4.5
2015,Up to 15 mins,Total,Outram,3.8
2015,Up to 15 mins,Total,Pasir Ris,11
2015,Up to 15 mins,Total,Punggol,5.2
2015,Up to 15 mins,Total,Queenstown,7.9
2015,Up to 15 mins,Total,Sembawang,5.1
2015,Up to 15 mins,Total,Sengkang,11.3
2015,Up to 15 mins,Total,Serangoon,8.2
2015,Up to 15 mins,Total,Tampines,22.2
2015,Up to 15 mins,Total,Tanglin,3
2015,Up to 15 mins,Total,Toa Payoh,11.1
2015,Up to 15 mins,Total,Woodlands,17.2
2015,Up to 15 mins,Total,Yishun,15.2
2015,Up to 15 mins,Total,Others,6.5
2015,16 - 30 mins,Total,Ang Mo Kio,32.4
2015,16 - 30 mins,Total,Bedok,56.8
2015,16 - 30 mins,Total,Bishan,19.2
2015,16 - 30 mins,Total,Bukit Batok,25.7
2015,16 - 30 mins,Total,Bukit Merah,37.1
2015,16 - 30 mins,Total,Bukit Panjang,25.1
2015,16 - 30 mins,Total,Bukit Timah,16.5
2015,16 - 30 mins,Total,Choa Chu Kang,26.5
2015,16 - 30 mins,Total,Clementi,18.8
2015,16 - 30 mins,Total,Geylang,23.3
2015,16 - 30 mins,Total,Hougang,37.8
2015,16 - 30 mins,Total,Jurong East,14.9
2015,16 - 30 mins,Total,Jurong West,52.3
2015,16 - 30 mins,Total,Kallang,25
2015,16 - 30 mins,Total,Marine Parade,9
2015,16 - 30 mins,Total,Novena,10.9
2015,16 - 30 mins,Total,Outram,4.4
2015,16 - 30 mins,Total,Pasir Ris,24
2015,16 - 30 mins,Total,Punggol,15.7
